Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Sistema) 	Residence time (Sistema) 	Utilization (Sistema)	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)
80.0	 Peticiones	 70.73316269013009	 0.031011211112761207	 1.2449036633462895	 70.73316269013009	 1.1	 77.8064789591431
85.0	 Peticiones	 75.00658222719917	 0.03323387729533122	 1.3201158471987056	 75.00658222719917	 1.1	 82.5072404499191
90.0	 Peticiones	 79.23250650702589	 0.03589742351542696	 1.3944921145236557	 79.23250650702589	 1.1	 87.15575715772849
95.0	 Peticiones	 83.39699790610504	 0.03912973350621746	 1.4677871631474488	 83.39699790610504	 1.1	 91.73669769671555
100.0	 Peticiones	 87.48099947554554	 0.043105366874026205	 1.5396655907696017	 87.48099947554554	 1.1	 96.22909942310011
105.0	 Peticiones	 91.4582954330492	 0.048064257078395	 1.609665999621666	 91.4582954330492	 1.1	 100.60412497635413
110.0	 Peticiones	 95.29282117593591	 0.05433669234024168	 1.677153652696472	 95.29282117593591	 1.1	 104.82210329352951
115.0	 Peticiones	 98.9354688827739	 0.06237383113088135	 1.741264252336821	 98.9354688827739	 1.1	 108.8290157710513
120.0	 Peticiones	 102.32117066057268	 0.07277782520757932	 1.8008526036260792	 102.32117066057268	 1.1	 112.55328772662995
125.0	 Peticiones	 105.36838651839143	 0.08631407512519888	 1.8544836027236893	 105.36838651839143	 1.1	 115.90522517023058
130.0	 Peticiones	 107.9851572000878	 0.10386915545365633	 1.9005387667215454	 107.9851572000878	 1.1	 118.78367292009659
135.0	 Peticiones	 110.08703411901419	 0.12630245314859337	 1.9375318004946498	 110.08703411901419	 1.1	 121.09573753091561
140.0	 Peticiones	 111.62801159089632	 0.1541654913023418	 1.9646530039997754	 111.62801159089632	 1.1	 122.79081274998596
145.0	 Peticiones	 112.63209060405518	 0.18737732934151397	 1.9823247946313713	 112.63209060405518	 1.1	 123.89529966446071
150.0	 Peticiones	 113.19950868825158	 0.22509409040896092	 1.992311352913228	 113.19950868825158	 1.1	 124.51945955707676
155.0	 Peticiones	 113.47270330876182	 0.2659672809436949	 1.9971195782342082	 113.47270330876182	 1.1	 124.81997363963802
160.0	 Peticiones	 113.58377292667973	 0.30865192163745736	 1.9990744035095633	 113.58377292667973	 1.1	 124.94215021934771
165.0	 Peticiones	 113.62186245425397	 0.35218531395251246	 1.99974477919487	 113.62186245425397	 1.1	 124.98404869967938
170.0	 Peticiones	 113.63292284630705	 0.3960452986845335	 1.9999394420950043	 113.63292284630705	 1.1	 124.99621513093777
175.0	 Peticiones	 113.63565841648213	 0.4400095571991454	 1.9999875881300857	 113.63565841648213	 1.1	 124.99922425813035
180.0	 Peticiones	 113.63623828173876	 0.4840017473451146	 1.9999977937586022	 113.63623828173876	 1.1	 124.99986210991264
185.0	 Peticiones	 113.63634423637046	 0.5280002779321097	 1.9999996585601203	 113.63634423637046	 1.1	 124.99997866000751
190.0	 Peticiones	 113.63636101258997	 0.5720000386051569	 1.9999999538215836	 113.63636101258997	 1.1	 124.99999711384898
195.0	 Peticiones	 113.63636332515557	 0.6160000046994907	 1.9999999945227382	 113.63636332515557	 1.1	 124.99999965767114
200.0	 Peticiones	 113.63636360388236	 0.6600000005030701	 1.9999999994283297	 113.63636360388236	 1.1	 124.9999999642706
205.0	 Peticiones	 113.63636363337096	 0.7040000000475093	 1.999999999947329	 113.63636363337096	 1.1	 124.99999999670807
210.0	 Peticiones	 113.63636363611948	 0.7480000000039706	 1.999999999995703	 113.63636363611948	 1.1	 124.99999999973144
215.0	 Peticiones	 113.63636363634593	 0.7920000000002947	 1.9999999999996885	 113.63636363634593	 1.1	 124.99999999998053
220.0	 Peticiones	 113.63636363636247	 0.8360000000000197	 1.9999999999999796	 113.63636363636247	 1.1	 124.99999999999874
225.0	 Peticiones	 113.63636363636355	 0.8800000000000012	 1.9999999999999987	 113.63636363636355	 1.1	 124.99999999999991
230.0	 Peticiones	 113.63636363636361	 0.9240000000000004	 1.9999999999999998	 113.63636363636361	 1.1	 124.99999999999999
235.0	 Peticiones	 113.63636363636363	 0.9680000000000001	 2.0	 113.63636363636363	 1.1	 125.0
240.0	 Peticiones	 113.63636363636363	 1.012	 2.0	 113.63636363636363	 1.1	 125.0
245.0	 Peticiones	 113.63636363636363	 1.056	 2.0	 113.63636363636363	 1.1	 125.0
250.0	 Peticiones	 113.63636363636363	 1.0999999999999999	 2.0	 113.63636363636363	 1.1	 125.0
255.0	 Peticiones	 113.63636363636365	 1.144	 2.0000000000000004	 113.63636363636365	 1.1	 125.00000000000003
260.0	 Peticiones	 113.63636363636363	 1.188	 2.0	 113.63636363636363	 1.1	 125.0
265.0	 Peticiones	 113.63636363636363	 1.2320000000000002	 2.0	 113.63636363636363	 1.1	 125.0
270.0	 Peticiones	 113.63636363636363	 1.276	 2.0	 113.63636363636363	 1.1	 125.0
275.0	 Peticiones	 113.63636363636364	 1.32	 2.0	 113.63636363636364	 1.1	 125.00000000000001
280.0	 Peticiones	 113.63636363636361	 1.364	 1.9999999999999998	 113.63636363636361	 1.1	 124.99999999999999
285.0	 Peticiones	 113.63636363636364	 1.408	 2.0	 113.63636363636364	 1.1	 125.00000000000001
290.0	 Peticiones	 113.63636363636364	 1.452	 2.0	 113.63636363636364	 1.1	 125.00000000000001
295.0	 Peticiones	 113.63636363636363	 1.496	 2.0	 113.63636363636363	 1.1	 125.0
300.0	 Peticiones	 113.63636363636363	 1.54	 2.0	 113.63636363636363	 1.1	 125.0
